列名列表： ['日期', '指数代码', '指数名称', '指数英文名称', '成分券代码', '成分券名称', '成分券英文名称', '交易所', '交易所英文名称']
沪深300成分股当前价格从高到低排序：
序号: 1, 股票代码: 600519, 股票名称: 贵州茅台, 当前价格: 1545.00
序号: 108, 股票代码: 002812, 股票名称: 恩捷股份, 当前价格: 28.05
序号: 109, 股票代码: 300316, 股票名称: 晶盛机电, 当前价格: 27.92
序号: 110, 股票代码: 000895, 股票名称: 双汇发展, 当前价格: 27.25
序号: 111, 股票代码: 300413, 股票名称: 芒果超媒, 当前价格: 27.18
序号: 112, 股票代码: 002466, 股票名称: 天齐锂业, 当前价格: 27.07
序号: 113, 股票代码: 002938, 股票名称: 鹏鼎控股, 当前价格: 27.04
序号: 114, 股票代码: 600547, 股票名称: 山东黄金, 当前价格: 26.28
序号: 115, 股票代码: 600845, 股票名称: 宝信软件, 当前价格: 26.15
序号: 116, 股票代码: 600332, 股票名称: 白云山, 当前价格: 25.87
序号: 117, 股票代码: 002463, 股票名称: 沪电股份, 当前价格: 24.94
序号: 118, 股票代码: 600585, 股票名称: 海螺水泥, 当前价格: 24.82
序号: 119, 股票代码: 600690, 股票名称: 海尔智家, 当前价格: 24.75
序号: 120, 股票代码: 600030, 股票名称: 中信证券, 当前价格: 24.50
序号: 121, 股票代码: 600938, 股票名称: 中国海油, 当前价格: 24.34
序号: 122, 股票代码: 600066, 股票名称: 宇通客车, 当前价格: 24.29
序号: 123, 股票代码: 600570, 股票名称: 恒生电子, 当前价格: 24.25
序号: 124, 股票代码: 000938, 股票名称: 紫光股份, 当前价格: 23.97
序号: 125, 股票代码: 600111, 股票名称: 北方稀土, 当前价格: 23.94
序号: 126, 股票代码: 600196, 股票名称: 复星医药, 当前价格: 23.70
序号: 127, 股票代码: 600160, 股票名称: 巨化股份, 当前价格: 23.63
序号: 128, 股票代码: 002142, 股票名称: 宁波银行, 当前价格: 23.57
序号: 129, 股票代码: 601066, 股票名称: 中信建投, 当前价格: 23.20
序号: 130, 股票代码: 600406, 股票名称: 国电南瑞, 当前价格: 23.17
序号: 131, 股票代码: 600161, 股票名称: 天坛生物, 当前价格: 23.14
序号: 132, 股票代码: 601633, 股票名称: 长城汽车, 当前价格: 22.95
序号: 133, 股票代码: 002050, 股票名称: 三花智控, 当前价格: 22.86
序号: 134, 股票代码: 300759, 股票名称: 康龙化成, 当前价格: 22.67
序号: 135, 股票代码: 300122, 股票名称: 智飞生物, 当前价格: 22.54
序号: 136, 股票代码: 000768, 股票名称: 中航西飞, 当前价格: 22.46
序号: 137, 股票代码: 002180, 股票名称: 纳思达, 当前价格: 22.32
序号: 138, 股票代码: 600183, 股票名称: 生益科技, 当前价格: 21.72
序号: 139, 股票代码: 600460, 股票名称: 士兰微, 当前价格: 21.51
序号: 140, 股票代码: 600426, 股票名称: 华鲁恒升, 当前价格: 21.35
序号: 141, 股票代码: 601877, 股票名称: 正泰电器, 当前价格: 21.18
序号: 142, 股票代码: 601166, 股票名称: 兴业银行, 当前价格: 20.81
序号: 143, 股票代码: 600482, 股票名称: 中国动力, 当前价格: 20.62
序号: 144, 股票代码: 002001, 股票名称: 新和成, 当前价格: 20.10
序号: 145, 股票代码: 600362, 股票名称: 江西铜业, 当前价格: 19.80
序号: 146, 股票代码: 300059, 股票名称: 东方财富, 当前价格: 19.70
序号: 147, 股票代码: 600803, 股票名称: 新奥股份, 当前价格: 19.70
序号: 148, 股票代码: 601225, 股票名称: 陕西煤业, 当前价格: 19.66
序号: 149, 股票代码: 601136, 股票名称: 首创证券, 当前价格: 19.51
序号: 150, 股票代码: 002074, 股票名称: 国轩高科, 当前价格: 19.20
序号: 151, 股票代码: 002241, 股票名称: 歌尔股份, 当前价格: 18.95
序号: 152, 股票代码: 601698, 股票名称: 中国卫通, 当前价格: 18.58
序号: 153, 股票代码: 600031, 股票名称: 三一重工, 当前价格: 18.55
序号: 154, 股票代码: 601607, 股票名称: 上海医药, 当前价格: 18.49
序号: 155, 股票代码: 688303, 股票名称: 大全能源, 当前价格: 18.33
序号: 156, 股票代码: 000975, 股票名称: 山金国际, 当前价格: 18.12
序号: 157, 股票代码: 001289, 股票名称: 龙源电力, 当前价格: 18.10
序号: 158, 股票代码: 300498, 股票名称: 温氏股份, 当前价格: 18.05
序号: 159, 股票代码: 300433, 股票名称: 蓝思科技, 当前价格: 17.88
序号: 160, 股票代码: 002648, 股票名称: 卫星化学, 当前价格: 17.64
序号: 161, 股票代码: 300450, 股票名称: 先导智能, 当前价格: 17.62
序号: 162, 股票代码: 688126, 股票名称: 沪硅产业, 当前价格: 17.29
序号: 163, 股票代码: 600999, 股票名称: 招商证券, 当前价格: 17.14
序号: 164, 股票代码: 600438, 股票名称: 通威股份, 当前价格: 17.01
序号: 165, 股票代码: 600741, 股票名称: 华域汽车, 当前价格: 16.94
序号: 166, 股票代码: 601838, 股票名称: 成都银行, 当前价格: 16.83
序号: 167, 股票代码: 600674, 股票名称: 川投能源, 当前价格: 16.78
序号: 168, 股票代码: 002007, 股票名称: 华兰生物, 当前价格: 16.77
序号: 169, 股票代码: 002601, 股票名称: 龙佰集团, 当前价格: 16.32
序号: 170, 股票代码: 002709, 股票名称: 天赐材料, 当前价格: 16.17
序号: 171, 股票代码: 601211, 股票名称: 国泰君安, 当前价格: 16.03
序号: 172, 股票代码: 601899, 股票名称: 紫金矿业, 当前价格: 15.95
序号: 173, 股票代码: 601788, 股票名称: 光大证券, 当前价格: 15.85
序号: 174, 股票代码: 603659, 股票名称: 璞泰来, 当前价格: 15.85
序号: 175, 股票代码: 000792, 股票名称: 盐湖股份, 当前价格: 15.59
序号: 176, 股票代码: 601865, 股票名称: 福莱特, 当前价格: 15.47
序号: 177, 股票代码: 600377, 股票名称: 宁沪高速, 当前价格: 15.44
序号: 178, 股票代码: 601138, 股票名称: 工业富联, 当前价格: 15.44
序号: 179, 股票代码: 000776, 股票名称: 广发证券, 当前价格: 15.08
序号: 180, 股票代码: 600989, 股票名称: 宝丰能源, 当前价格: 15.00
序号: 181, 股票代码: 600346, 股票名称: 恒力石化, 当前价格: 14.98
序号: 182, 股票代码: 601688, 股票名称: 华泰证券, 当前价格: 14.93
序号: 183, 股票代码: 601881, 股票名称: 中国银河, 当前价格: 14.88
序号: 184, 股票代码: 002236, 股票名称: 大华股份, 当前价格: 14.84
序号: 185, 股票代码: 000338, 股票名称: 潍柴动力, 当前价格: 14.70
序号: 186, 股票代码: 600104, 股票名称: 上汽集团, 当前价格: 14.62
序号: 187, 股票代码: 600875, 股票名称: 东方电气, 当前价格: 14.56
序号: 188, 股票代码: 601012, 股票名称: 隆基绿能, 当前价格: 14.52
序号: 189, 股票代码: 600886, 股票名称: 国投电力, 当前价格: 14.45
序号: 190, 股票代码: 000807, 股票名称: 云铝股份, 当前价格: 14.36
序号: 191, 股票代码: 601059, 股票名称: 信达证券, 当前价格: 14.31
序号: 192, 股票代码: 600926, 股票名称: 杭州银行, 当前价格: 14.30
序号: 193, 股票代码: 002555, 股票名称: 三七互娱, 当前价格: 13.69
序号: 194, 股票代码: 688599, 股票名称: 天合光能, 当前价格: 13.60
序号: 195, 股票代码: 001965, 股票名称: 招商公路, 当前价格: 13.38
序号: 196, 股票代码: 601919, 股票名称: 中远海控, 当前价格: 13.29
序号: 197, 股票代码: 600588, 股票名称: 用友网络, 当前价格: 13.10
序号: 198, 股票代码: 601808, 股票名称: 中海油服, 当前价格: 12.86
序号: 199, 股票代码: 600489, 股票名称: 中金黄金, 当前价格: 12.71
序号: 200, 股票代码: 300015, 股票名称: 爱尔眼科, 当前价格: 12.68
序号: 201, 股票代码: 600188, 股票名称: 兖矿能源, 当前价格: 12.66
序号: 202, 股票代码: 600233, 股票名称: 圆通速递, 当前价格: 12.65
序号: 203, 股票代码: 603806, 股票名称: 福斯特, 当前价格: 12.47
序号: 204, 股票代码: 600176, 股票名称: 中国巨石, 当前价格: 12.16
序号: 205, 股票代码: 600415, 股票名称: 小商品城, 当前价格: 12.15
序号: 206, 股票代码: 601058, 股票名称: 赛轮轮胎, 当前价格: 11.99
序号: 207, 股票代码: 000708, 股票名称: 中信特钢, 当前价格: 11.89
序号: 208, 股票代码: 000625, 股票名称: 长安汽车, 当前价格: 11.74
序号: 209, 股票代码: 601699, 股票名称: 潞安环能, 当前价格: 11.61
序号: 210, 股票代码: 600089, 股票名称: 特变电工, 当前价格: 11.55
序号: 211, 股票代码: 002271, 股票名称: 东方雨虹, 当前价格: 11.50
序号: 212, 股票代码: 000876, 股票名称: 新 希 望, 当前价格: 11.04
序号: 213, 股票代码: 000001, 股票名称: 平安银行, 当前价格: 10.82
序号: 214, 股票代码: 600372, 股票名称: 中航机载, 当前价格: 10.63
序号: 215, 股票代码: 601878, 股票名称: 浙商证券, 当前价格: 10.34
序号: 216, 股票代码: 601009, 股票名称: 南京银行, 当前价格: 10.30
序号: 217, 股票代码: 600000, 股票名称: 浦发银行, 当前价格: 10.20
序号: 218, 股票代码: 601229, 股票名称: 上海银行, 当前价格: 10.10
序号: 219, 股票代码: 601898, 股票名称: 中煤能源, 当前价格: 10.06
序号: 220, 股票代码: 002459, 股票名称: 晶澳科技, 当前价格: 9.99
序号: 221, 股票代码: 600026, 股票名称: 中远海能, 当前价格: 9.99
序号: 222, 股票代码: 001979, 股票名称: 招商蛇口, 当前价格: 9.49
序号: 223, 股票代码: 002736, 股票名称: 国信证券, 当前价格: 9.47
序号: 224, 股票代码: 600919, 股票名称: 江苏银行, 当前价格: 9.39
序号: 225, 股票代码: 600025, 股票名称: 华能水电, 当前价格: 9.35
序号: 226, 股票代码: 601360, 股票名称: 三六零, 当前价格: 9.32
序号: 227, 股票代码: 601800, 股票名称: 中国交建, 当前价格: 9.25
序号: 228, 股票代码: 601985, 股票名称: 中国核电, 当前价格: 9.20
序号: 229, 股票代码: 601939, 股票名称: 建设银行, 当前价格: 8.97
序号: 230, 股票代码: 688472, 股票名称: 阿特斯, 当前价格: 8.95
序号: 231, 股票代码: 600958, 股票名称: 东方证券, 当前价格: 8.70
序号: 232, 股票代码: 600039, 股票名称: 四川路桥, 当前价格: 8.56
序号: 233, 股票代码: 600048, 股票名称: 保利发展, 当前价格: 8.50
序号: 234, 股票代码: 601728, 股票名称: 中国电信, 当前价格: 8.22
序号: 235, 股票代码: 000425, 股票名称: 徐工机械, 当前价格: 8.10
序号: 236, 股票代码: 601186, 股票名称: 中国铁建, 当前价格: 8.04
序号: 237, 股票代码: 002493, 股票名称: 荣盛石化, 当前价格: 7.97
序号: 238, 股票代码: 000301, 股票名称: 东方盛虹, 当前价格: 7.83
序号: 239, 股票代码: 002129, 股票名称: TCL中环, 当前价格: 7.74
序号: 240, 股票代码: 601238, 股票名称: 广汽集团, 当前价格: 7.70
序号: 241, 股票代码: 601857, 股票名称: 中国石油, 当前价格: 7.70
序号: 242, 股票代码: 600015, 股票名称: 华夏银行, 当前价格: 7.55
序号: 243, 股票代码: 000800, 股票名称: 一汽解放, 当前价格: 7.39
序号: 244, 股票代码: 601328, 股票名称: 交通银行, 当前价格: 7.34
序号: 245, 股票代码: 601236, 股票名称: 红塔证券, 当前价格: 7.17
序号: 246, 股票代码: 601117, 股票名称: 中国化学, 当前价格: 7.12
序号: 247, 股票代码: 601901, 股票名称: 方正证券, 当前价格: 7.11
序号: 248, 股票代码: 601766, 股票名称: 中国中车, 当前价格: 7.02
序号: 249, 股票代码: 600011, 股票名称: 华能国际, 当前价格: 7.00
序号: 250, 股票代码: 601111, 股票名称: 中国国航, 当前价格: 7.00
序号: 251, 股票代码: 601998, 股票名称: 中信银行, 当前价格: 6.99
序号: 252, 股票代码: 002252, 股票名称: 上海莱士, 当前价格: 6.96
序号: 253, 股票代码: 000157, 股票名称: 中联重科, 当前价格: 6.94
序号: 254, 股票代码: 601398, 股票名称: 工商银行, 当前价格: 6.82
序号: 255, 股票代码: 000002, 股票名称: 万科A, 当前价格: 6.80
序号: 256, 股票代码: 600019, 股票名称: 宝钢股份, 当前价格: 6.79
序号: 257, 股票代码: 601006, 股票名称: 大秦铁路, 当前价格: 6.73
序号: 258, 股票代码: 000983, 股票名称: 山西焦煤, 当前价格: 6.65
序号: 259, 股票代码: 601319, 股票名称: 中国人保, 当前价格: 6.62
序号: 260, 股票代码: 002027, 股票名称: 分众传媒, 当前价格: 6.57
序号: 261, 股票代码: 600061, 股票名称: 国投资本, 当前价格: 6.53
序号: 262, 股票代码: 601600, 股票名称: 中国铝业, 当前价格: 6.28
序号: 263, 股票代码: 603993, 股票名称: 洛阳钼业, 当前价格: 6.21
序号: 264, 股票代码: 000617, 股票名称: 中油资本, 当前价格: 6.13
序号: 265, 股票代码: 601872, 股票名称: 招商轮船, 当前价格: 6.04
序号: 266, 股票代码: 601169, 股票名称: 北京银行, 当前价格: 6.02
序号: 267, 股票代码: 600918, 股票名称: 中泰证券, 当前价格: 5.93
序号: 268, 股票代码: 601816, 股票名称: 京沪高铁, 当前价格: 5.84
序号: 269, 股票代码: 600028, 股票名称: 中国石化, 当前价格: 5.67
序号: 270, 股票代码: 688223, 股票名称: 晶科能源, 当前价格: 5.67
序号: 271, 股票代码: 601390, 股票名称: 中国中铁, 当前价格: 5.63
序号: 272, 股票代码: 600018, 股票名称: 上港集团, 当前价格: 5.60
序号: 273, 股票代码: 600023, 股票名称: 浙能电力, 当前价格: 5.58
序号: 274, 股票代码: 600029, 股票名称: 南方航空, 当前价格: 5.58
序号: 275, 股票代码: 601377, 股票名称: 兴业证券, 当前价格: 5.54
序号: 276, 股票代码: 600027, 股票名称: 华电国际, 当前价格: 5.49
序号: 277, 股票代码: 601988, 股票名称: 中国银行, 当前价格: 5.47
序号: 278, 股票代码: 688009, 股票名称: 中国通号, 当前价格: 5.38
序号: 279, 股票代码: 600050, 股票名称: 中国联通, 当前价格: 5.34
序号: 280, 股票代码: 601668, 股票名称: 中国建筑, 当前价格: 5.33
序号: 281, 股票代码: 601658, 股票名称: 邮储银行, 当前价格: 5.12
序号: 282, 股票代码: 601288, 股票名称: 农业银行, 当前价格: 5.11
序号: 283, 股票代码: 601669, 股票名称: 中国电建, 当前价格: 4.76
序号: 284, 股票代码: 000166, 股票名称: 申万宏源, 当前价格: 4.58
序号: 285, 股票代码: 600795, 股票名称: 国电电力, 当前价格: 4.46
序号: 286, 股票代码: 600905, 股票名称: 三峡能源, 当前价格: 4.31
序号: 287, 股票代码: 601989, 股票名称: 中国重工, 当前价格: 4.10
序号: 288, 股票代码: 600016, 股票名称: 民生银行, 当前价格: 3.89
序号: 289, 股票代码: 000100, 股票名称: TCL科技, 当前价格: 3.86
序号: 290, 股票代码: 000725, 股票名称: 京东方A, 当前价格: 3.74
序号: 291, 股票代码: 601818, 股票名称: 光大银行, 当前价格: 3.66
序号: 292, 股票代码: 600115, 股票名称: 中国东航, 当前价格: 3.63
序号: 293, 股票代码: 003816, 股票名称: 中国广核, 当前价格: 3.58
序号: 294, 股票代码: 600515, 股票名称: 海南机场, 当前价格: 3.41
序号: 295, 股票代码: 600219, 股票名称: 南山铝业, 当前价格: 3.32
序号: 296, 股票代码: 000630, 股票名称: 铜陵有色, 当前价格: 2.95
序号: 297, 股票代码: 601618, 股票名称: 中国中冶, 当前价格: 2.93
序号: 298, 股票代码: 601916, 股票名称: 浙商银行, 当前价格: 2.88
序号: 299, 股票代码: 601868, 股票名称: 中国能建, 当前价格: 2.27
序号: 300, 股票代码: 600010, 股票名称: 包钢股份, 当前价格: 1.71
2025-04-08 22:25:46.759477
